comp_pers_id,cpr_person_id,pp_external_id,pp_wvb_person_id,pp_fullname,em_name,pp_display_name,em_display_name,cpr_role_type
12534223,3f7366d8-32dc-4339-bea6-820361208b95,18143696,12159115,halipah binti esa,HALIPAH BINTI ESA,Halipah Binti Esa,Halipah Binti Esa,DIR
11213912,983c698f-0c0d-4d0c-b547-4fe85f7edd7d,14336047,3093405,yang chien yee,YANG CHIEN YEE,Yang Chien Yee,Yang Chien Yee,DIR
16256760,eaf9bb7b-ba6c-434c-8b92-20d79f997294,18113658,12125060,yang chien yee,YANG CHIEN YEE,Yang Chien Yee,Yang Chien Yee,DIR
16943847,e89b40e1-ec8d-45a5-9f40-b8a12f11ead9,14112990,2260148,choon meng leong,CHOON MENG LEONG,Choon Meng Leong,Choon Meng Leong,DIR
11142085,cef20517-225f-43e2-9490-ba6d69bc3b5f,14275072,3004298,choon meng leong,CHOON MENG LEONG,Choon Meng Leong,Choon Meng Leong,DIR
13446657,ae36b09a-5eae-4d10-88c3-faa906efbda8,15705640,4489617,zakaria bin kasah,ZAKARIA BIN KASAH,Zakaria Bin Kasah,Zakaria Bin Kasah,DIR
12356810,49253b87-b686-44f3-8876-82b97df4e3ef,18450073,12585521,zakaria bin kasah,ZAKARIA BIN KASAH,Zakaria Bin Kasah,Zakaria Bin Kasah,DIR
11300271,fdfb651e-49ab-41e9-971f-39343858d95f,14402209,3163693,pramod kumar karunakaran,PRAMOD KUMAR KARUNAKARAN,Pramod Kumar Karunakaran,Pramod Kumar Karunakaran,DIR
11287783,e6365cab-7fb2-4a88-b8b8-96121d2af207,14380125,3140458,pramod kumar karunakaran,PRAMOD KUMAR KARUNAKARAN,Pramod Kumar Karunakaran,Pramod Kumar Karunakaran,DIR
11238561,a41c8780-5e3e-4c2b-a76c-9222e96c7f27,14375395,3139537,siew lee yeong,SIEW LEE YEONG,Siew Lee Yeong,Siew Lee Yeong,DIR
12478097,bb329605-6b51-4361-9860-a2f9844f7ff1,18321421,12331907,siew lee yeong,SIEW LEE YEONG,Siew Lee Yeong,Yeong Siew Lee,DIR
11224636,3eee0dac-af02-4e92-b00f-50ce036cbce9,14258373,2890428,eng choon ong,ENG CHOON ONG,Eng Choon Ong,Eng Choon Ong,DIR
11034007,60902d24-ddf6-457c-b936-86ce2e705118,13787044,110341,eng choon ong,ENG CHOON ONG,Eng Choon Ong,Ong Eng Choon,DIR
11224637,6aec2b6c-f02f-4f4e-a45b-8064eddf7157,13788573,113535,chong keat yeoh,CHONG KEAT YEOH,Chong Keat Yeoh,Chong Keat Yeoh,DIR
10382190,5eec9f20-311b-456f-881d-d8180d76dbf8,13791043,118873,chong keat yeoh,CHONG KEAT YEOH,Chong Keat Yeoh,Chong Keat Yeoh,DIR
11434537,5fa13f83-6556-4132-af7f-8efbb415b027,14274242,2995154,kian onn lim,KIAN ONN LIM,Kian Onn Lim,Kian Onn Lim,DIR
11203679,769dc6a1-658d-4535-ae8a-e23ed012039f,13907316,1024187,kian onn lim,KIAN ONN LIM,Kian Onn Lim,Kian Onn Lim,DIR
11434529,42a997a2-c1cc-43a2-b627-d2f76c3c18c8,13927369,1068049,lee ee fam,LEE EE FAM,Lee Ee Fam,Lee Ee Fam,DIR
10590068,abc02a4b-7593-4309-8076-f492f1cb7db5,13963990,1169317,lee ee fam,LEE EE FAM,Lee Ee Fam,Lee Ee Fam,DIR
11243703,e9f7f99b-20b6-4d06-af69-af9365acbdef,14382556,3142520,hsin hsien ang,HSIN HSIEN ANG,Hsin Hsien Ang,Hsin Hsien Ang,DIR
12377416,3b6714c5-66e7-48fc-b2fe-fb2099db79d5,18168681,12180111,hsin hsien ang,HSIN HSIEN ANG,Hsin Hsien Ang,Ang Hsin Hsien,DIR
