comp_pers_id,cpr_person_id,pp_external_id,pp_wvb_person_id,pp_fullname,em_name,pp_display_name,em_display_name,cpr_role_type
10370945,518b174c-ffb3-46f8-bd2d-ba87797dfbdb,13790844,118471,NIRMAL SINGH S/O GURNAM SINGH,NIRMAL SINGH S/O GURNAM SINGH,Nirmal Singh S/o Gurnam Singh,Nirmal Singh S/o Gurnam Singh,DIR
14114484,6a6a5287-1591-4483-9054-0946597cf452,18203080,12213549,TEE KEIN ONG,TEE KEIN ONG,Tee Kein Ong,Tee Kein Ong,DIR
11038571,451e7c2e-91a7-4391-bd86-ebc50081b1b0,14293061,3048094,KOK ONN CHOY,KOK ONN CHOY,Kok Onn Choy,Kok Onn Choy,DIR
11051109,199adde7-d76b-4971-8e8d-88954d74d445,14297710,3053031,LEUNG KOK KEONG,LEUNG KOK KEONG,Leung Kok Keong,Leung Kok Keong,DIR
12502062,9c15656f-123b-417b-bbe2-aad387ae231a,18550320,12753061,TENGKU AHMAD BADLI SHAH BIN RAJA HUSSIN,TENGKU AHMAD BADLI SHAH BIN RAJA HUSSIN,Tengku Ahmad Badli Shah Bin Raja Hussin,Tengku Ahmad Badli Shah Bin Raja Hussin,DIR
12796781,1195ee90-db04-49e8-93f8-05624f191340,18388061,12398574,CHEE PENG CHU,CHEE PENG CHU,Chee Peng Chu,Chee Peng Chu,DIR
11038572,b4f6ec67-5c77-49bc-8bf2-02c95e87f2fb,13984247,1215691,FOO SENG LIM,FOO SENG LIM,Foo Seng Lim,Foo Seng Lim,DIR
10526806,75f3328f-4b4b-4cb1-a68a-c592a3fde833,13920999,1059279,SANMARKAN S/O T S GANAPATHI,SANMARKAN S/O T S GANAPATHI,Sanmarkan S/o T S Ganapathi,Sanmarkan S/o T S Ganapathi,DIR
11298043,75ff36ed-9d10-466a-922e-61510697fc5e,13887373,473731,SUKHINDERJIT SINGH S/O MUKER,SUKHINDERJIT SINGH S/O MUKER,Sukhinderjit Singh S/o Muker,Sukhinderjit Singh S/o Muker,DIR
12300344,be89fe09-f505-475f-97c8-4c914fba8580,18418170,12544188,SIK EEK TAN,SIK EEK TAN,Sik Eek Tan,Sik Eek Tan,DIR
11039562,bde9b370-a98a-4665-b411-16df394d8fab,14293066,3048099,ERLIZA HAMBALI,ERLIZA HAMBALI,Erliza Hambali,Erliza Hambali,DIR
11295413,11fa2ff7-28d1-468d-9aef-ee5f4266f3e8,14400878,3162262,WAI CHOONG THONG,WAI CHOONG THONG,Wai Choong Thong,Wai Choong Thong,DIR
11331419,b4f6ec67-5c77-49bc-8bf2-02c95e87f2fb,13984247,1215691,FOO SENG LIM,FOO SENG LIM,Foo Seng Lim,Foo Seng Lim,DIR
11104199,199adde7-d76b-4971-8e8d-88954d74d445,14297710,3053031,LEUNG KOK KEONG,LEUNG KOK KEONG,Leung Kok Keong,Leung Kok Keong,DIR
11039563,9f0b37c3-232a-43c7-97a9-5c878cf6594c,14293067,3048100,KIM CHU LIM,KIM CHU LIM,Kim Chu Lim,Kim Chu Lim,DIR
11242761,746accd1-ecc9-4437-87fe-9791c054fdf0,14380805,3140847,CHENG GUAN HUAN,CHENG GUAN HUAN,Cheng Guan Huan,Cheng Guan Huan,DIR
11386910,259d5544-77f6-40f1-ab95-d5c63cabed17,17906510,11669616,WISUN SOON,WISUN SOON,Wisun Soon,Wisun Soon,DIR
11331417,496f5039-6774-425c-9331-7d1f946e3bf9,14293065,3048098,KEM LOONG LOOI,KEM LOONG LOOI,Kem Loong Looi,Kem Loong Looi,DIR
10480948,75ff36ed-9d10-466a-922e-61510697fc5e,13887373,473731,SUKHINDERJIT SINGH S/O MUKER,SUKHINDERJIT SINGH S/O MUKER,Sukhinderjit Singh S/o Muker,Sukhinderjit Singh S/o Muker,DIR
11226953,481c5234-da02-4aa1-b60f-d9937093007c,14376514,3136105,CHEE WEI LIM,CHEE WEI LIM,Chee Wei Lim,Chee Wei Lim,DIR
12623675,199adde7-d76b-4971-8e8d-88954d74d445,14297710,3053031,LEUNG KOK KEONG,LEUNG KOK KEONG,Leung Kok Keong,Leung Kok Keong,DIR
11078316,075d56ec-6fa0-4b73-8ef9-38ff33b1ebc5,13889450,513507,MOHAMED SALLEH BIN BAJURI,MOHAMED SALLEH BIN BAJURI,Mohamed Salleh Bin Bajuri,Mohamed Salleh Bin Bajuri,DIR
13811242,4d38e68d-0d46-45f1-b6a1-58b2a7834eb6,14547714,3317191,MOHAMED SHARIL BIN MOHAMED TARMIZI,MOHAMED SHARIL BIN MOHAMED TARMIZI,Mohamed Sharil Bin Mohamed Tarmizi,Mohamed Sharil Bin Mohamed Tarmizi,DIR
11078314,55ecc4f3-4dec-4966-a316-b7da03bc13a6,14315563,3071878,HAMZAH ISMAIL,HAMZAH ISMAIL,Hamzah Ismail,Hamzah Ismail,DIR
11078315,a5e1dd50-a991-476b-86eb-c9225a896762,14315565,3071880,MOHD AQLIFF SHANE ABDULLAH,MOHD AQLIFF SHANE ABDULLAH,Mohd Aqliff Shane Abdullah,Mohd Aqliff Shane Abdullah,DIR
15641181,ee2e7209-a8bc-4043-95d5-1a0d9edaf682,19839364,14132732,HAIDA SHENNY BINTI HAZRI,HAIDA SHENNY BINTI HAZRI,Haida Shenny Binti Hazri,Haida Shenny Binti Hazri,DIR
13274699,6564f332-2081-4c3d-a2fa-c7565327123c,18156456,12166924,KAI CHUN LOK,KAI CHUN LOK,Kai Chun Lok,Lok Kai Chun,DIR
11078319,ca385fe2-ce2e-48e9-b42b-069979b23ebc,13960778,1155809,"WYE PONG, BRIAN WONG","WYE PONG, BRIAN WONG","Wye Pong, Brian Wong","Wye Pong, Brian Wong",DIR
13727827,fa910181-34d3-4551-b2b0-819362efe76d,14116208,2284233,"LAI HUAT , RONNIE KOK","LAI HUAT , RONNIE KOK","Lai Huat , Ronnie Kok","Lai Huat , Ronnie Kok",DIR
16183618,42f0248a-200d-4261-a59e-fcf2c6740d47,19861227,14155191,AI RENE NG,AI RENE NG,Ai Rene Ng,Ng Ai Rene,DIR
11078313,7a0ad488-e819-420d-8e5f-ef707d38c496,14315559,3071874,ANDRE ANTHONY A/L HUBERT RENE,ANDRE ANTHONY A/L HUBERT RENE,Andre Anthony A/l Hubert Rene,Andre Anthony A/l Hubert Rene,DIR
15050283,42f0248a-200d-4261-a59e-fcf2c6740d47,19861227,14155191,AI RENE NG,AI RENE NG,Ai Rene Ng,Ng Ai Rene,DIR
11078062,f94939fd-6757-4c53-857b-ebed44e375e1,14315785,3072107,TAK KEONG WONG,TAK KEONG WONG,Tak Keong Wong,Tak Keong Wong,DIR
11078060,9f5d1c20-ec7e-40f0-b777-233e2e28ec3d,13884523,466093,BOOK THENG,BOOK THENG,Book Theng,Theng Book,DIR
12703213,a29cfb92-2ffa-49d4-bcc1-74102b439337,18592240,12797225,HOCK LENG TEH,HOCK LENG TEH,Hock Leng Teh,Hock Leng Teh,DIR
11078056,c3ee90dc-99b8-4276-b968-23665346378c,14315778,3072099,LIAN POH NG,LIAN POH NG,Lian Poh Ng,Lian Poh Ng,DIR
11078058,70cd1b27-b743-4644-87f9-377a69e3ed97,13981551,1207895,SOH KIAN NG,SOH KIAN NG,Soh Kian Ng,Soh Kian Ng,DIR
11078061,4e7d615e-846f-4e3c-a93d-a9dfb7dabf33,14315783,3072105,KONG HOI LEE,KONG HOI LEE,Kong Hoi Lee,Kong Hoi Lee,DIR
11078057,075d593a-c24f-41f8-a886-d43d9d09c35a,14315779,3072100,TECK BENG TAN,TECK BENG TAN,Teck Beng Tan,Teck Beng Tan,DIR
11078059,7919edff-9ce0-479a-b836-519068d3ead2,14315780,3072102,CHOK KHOOI CHOOI,CHOK KHOOI CHOOI,Chok Khooi Chooi,Chok Khooi Chooi,DIR
11378817,44fb9268-946c-438f-869d-ac2ea387f28c,14003803,1432997,CHEE YUN CHEONG,CHEE YUN CHEONG,Chee Yun Cheong,Chee Yun Cheong,DIR
17791612,6a199c84-997e-4565-8778-a1a24a45b045,18362112,12372613,TENGKU MUNAWIR ISLAHUDDIN BIN TENGKU NOONE AZIZ,TENGKU MUNAWIR ISLAHUDDIN BIN TENGKU NOONE AZIZ,Tengku Munawir Islahuddin Bin Tengku Noone Aziz,Tengku Munawir Islahuddin Bin Tengku Noone Aziz,DIR
10643466,16fb937d-9b32-4cd0-8862-018469d57a8c,13853100,366363,GANESAN S/O SUNDARAJ,GANESAN S/O SUNDARAJ,Ganesan S/o Sundaraj,Ganesan S/o Sundaraj,DIR
11096397,7ee64df3-11a9-4ec7-8221-3e20dd11ad14,13785463,106327,SIK CHEONG CHAU,SIK CHEONG CHAU,Sik Cheong Chau,Sik Cheong Chau,DIR
11373307,cd753391-cf5e-40b3-b7a8-cfcd635f3071,17896524,11582720,VI VEN OOI,VI VEN OOI,Vi Ven Ooi,Vi Ven Ooi,DIR
10478632,abf49d14-9e97-4ba1-97a5-44321e563b8f,13885054,467365,SUNDRA MOORTHI S/O V M KRISHNASAMY,SUNDRA MOORTHI S/O V M KRISHNASAMY,Sundra Moorthi S/o V M Krishnasamy,Sundra Moorthi S/o V M Krishnasamy,DIR
12572468,0598474d-7242-48bd-bb86-3b58cfd18951,14322457,3079102,JOEL EMANUEL HEANEY,JOEL EMANUEL HEANEY,Joel Emanuel Heaney,Joel Emanuel Heaney,DIR
11096395,9616625f-ca21-4dd1-9997-73d06e304354,14322460,3079105,TENGKU BADERUL ZAMAN IBNI AL MARHUM SULTAN MAHMUD,TENGKU BADERUL ZAMAN IBNI AL MARHUM SULTAN MAHMUD,Tengku Baderul Zaman Ibni Al Marhum Sultan Mahmud,Tengku Baderul Zaman Ibni Al Marhum Sultan Mahmud,DIR
12573480,905d82eb-ed53-45a3-8643-775bf009e4c5,18113011,12123474,ABDUL HALIM MOHSIN,ABDUL HALIM MOHSIN,Abdul Halim Mohsin,Abdul Halim Mohsin,DIR
